Title,Text
OmniAI transforms business data for AI,"OmniAI, founded by Anna Pojawis and Tyler Maran, aims to help companies extract value from their data by transforming unstructured enterprise data into formats that AI and data analytics tools can understand. Many companies struggle with data analytics due to technical and security roadblocks, especially in regulated industries like healthcare and finance. OmniAI syncs with data storage services and databases, allowing companies to run the model of their choice on the transformed data. The company recently closed a $3.2 million seed round and already has 10 customers, with annual recurring revenue expected to reach $1 million by 2025. OmniAI offers integrations with various models for tasks like redacting sensitive information and building AI-powered applications, with a focus on running models alongside existing infrastructure."
Mayfield allocates $100M to AI incubator modeled after its entrepreneur-in-residence program,"Mayfield Fund is launching AI Garage, a $100 million initiative for founders interested in building ""AI teammate"" companies, modeled after its entrepreneur-in-residence program. The firm plans to welcome up to five aspiring founders every six months, providing them with support to turn their raw concepts into fundable companies. Participants won't receive capital on day one, but will be allocated between $1 million and $5 million once the business plan is developed. Mayfield's interest in AI application startups, specifically in the area of ""AI teammates,"" is driving the expansion and formalization of its EIR program. The firm believes AI teammates can collaborate with humans on complex tasks to elevate performance, asserting that labeling them as teammates is a clever marketing tactic for building human-friendly AI. Mayfield has already invested in several AI teammate companies, such as DevRev and Docket, with the goal of shaping the future of the workplace through collaborative intelligence between AI and humans."
"At the AI Film Festival, humanity triumphed over tech","At the AI Film Festival, AI was used in various forms in the top 10 finalists' movies, such as AI-generated backdrops, animations, voice-overs, and special effects. The limitations of current AI tools were evident, with some films being hampered by underwhelming effects. The human touch, such as skilled direction and emotional performances, often made a significant difference in the effectiveness of the films. Despite some shortcomings, films like ""Where Do Grandmas Go When They Get Lost?"" stood out due to heartfelt scripts and strong performances. Ultimately, the festival highlighted that while AI can assist in filmmaking, the human element, including emotionality and creativity, remains irreplaceable."
Microsoft dodges UK antitrust scrutiny over its Mistral AI stake,"Microsoft's recent investment in Mistral AI avoids antitrust scrutiny in the UK, with the Competition and Markets Authority concluding that it does not qualify for investigation. The CMA has been conducting probes into AI investments and partnerships by tech giants like Microsoft and Amazon. Microsoft's investment in Mistral AI was seen as a move to rival OpenAI. The CMA has expressed concerns about Big Tech's tactics to avoid regulatory oversight through partnerships. While the Mistral AI case did not qualify for investigation, the CMA is still looking into other AI partnerships involving Microsoft and Amazon."
EU calls for help with shaping rules for general-purpose AIs,"EU is seeking input from stakeholders on rules for general-purpose AI models under the AI Act, with a deadline of April 2025 for compliance. The consultation covers transparency, risk assessment, and monitoring of GPAIs. GPAI providers can shape the template for model training content summaries. Expressions of interest are also sought for drafting the Code, with workshops and meetings planned. Concerns about civil society exclusion in the drafting process are being addressed by the Commission."
Study suggests that even the best AI models hallucinate a bunch,"Generative AI models like GPT-4o often hallucinate, with even the best models generating inaccurate information about 65% of the time. A recent study by researchers from Cornell, UW, and AI2 found that models struggle with factual accuracy, especially when answering questions not found on Wikipedia. Despite claims from OpenAI and other AI players, models continue to struggle with hallucinations, showing similar performance across different models. The size of the model did not impact its ability to hallucinate, with smaller models performing comparable to larger models. To reduce hallucinations, researchers suggest incorporating human-in-the-loop fact-checking and developing advanced fact-checking tools for generative AI models. Improvements in the accuracy of AI models are necessary, as current benchmarks are not sufficient in evaluating their performance."
Here are India’s biggest AI startups based on how much money they’ve raised,"India's AI startup ecosystem is rapidly growing with a focus on solving local problems and integrating local languages. Funding for Indian AI startups dropped by nearly 80% in 2023 to $113.4 million, while funding in the U.S. grew to $16.2 billion. Key Indian AI startups include Krutrim, Sarvam AI, Mad Street Den, Wysa, and Neysa Networks. Global and local investors are actively scouting for AI startups in India, with Lightspeed India and SEA alone investing over $150 million in AI in the last 18 months. Indian AI startups are also expanding their reach beyond India, with some looking to enter the U.S. market."
Women in AI: Allison Cohen on building responsible AI projects,"Allison Cohen, a senior applied AI projects manager at Mila, is highlighted for her work in deploying socially beneficial AI projects, including a tool to detect misogyny and recommend sustainable farming practices. She emphasizes the importance of interdisciplinary collaboration in building responsible AI applications. Cohen navigates the challenges of the male-dominated tech industry by finding allies and creating platforms, like the podcast ""The World We're Building,"" to elevate the work of women and non-binary individuals in AI. She advises women looking to enter the AI field to find opportunities to build their voice and stand out, even through volunteering. Some pressing issues facing AI as it evolves include labor exploitation in data labeling and the need for responsible AI built with values that align with the interests of local communities. To promote responsible AI, investors are encouraged to ask about a team's values and accountability to the community to ensure ethical practices."
Exactly.ai secures $4M to help artists use AI to scale up their output,"London-based startup Exactly.ai has raised $4.3 million in seed funding to help artists use generative AI to scale up their output. The company, founded in 2022 by Tonia Samsonova, allows artists to retain legal ownership of their art and reproduce designs faster. Exactly.ai currently has 40,000 registered users and aims to cater to the growing global generative AI market. Artists pay a subscription fee to use the platform and can quadruple their income by serving more demand. The startup's unique algorithm is based on a combination of Picsart's model and training data provided by artists and museums."
"Ilya Sutskever, OpenAI co-founder and longtime chief scientist, departs","Ilya Sutskever, co-founder and chief scientist at OpenAI, has left the company with a replacement named Jakub Pachocki, who joined in 2017 and has been promoted several times. The Superalignment team, focused on regulating superintelligent AI systems, will see changes in leadership following Sutskever's departure. Sutskever's exit comes after disagreements over the company's direction and concerns about CEO Sam Altman's behavior, leading to a major shakeup within OpenAI's leadership last November. Sutskever, a highly accomplished figure in AI, left Google Brain to join OpenAI in 2015 and is now pursuing a project of personal significance. Altman was eventually reinstated after the tumultuous events, and Sutskever has not returned to work since then."
